packets,bytes,Duration,label
13,13005,0,1b
11,1292,0,1b
271,13193,13,1b
1,142,0,normal
1,160,0,normal
4,450,3,1b
1,46,0,neptune
1,160,0,normal
13,13957,6,normal
1,160,0,normal
1,160,0,normal
1,160,0,normal
1,160,0,normal
1,136,0,normal
1,160,0,normal
1,46,0,neptune
1,160,0,normal
12,859,0,1b
1,46,0,neptune
1,110,0,normal
1,160,0,normal
1,46,0,neptune
1,160,0,normal
1,46,0,neptune
1,110,0,normal
1,119,0,normal
1,161,0,normal
1,160,0,normal
1,160,0,normal
14,920,52,1b
1,160,0,normal
1,160,0,normal
6,277,1,1b
1,46,0,neptune
1,160,0,normal
1,136,0,normal
1,160,0,normal
1,46,0,neptune
9,542,8,other
1,144,0,normal
1,142,0,normal
1,160,0,normal
1,46,0,portsweep
1,110,0,normal
1,46,0,neptune
1,160,0,normal
1,46,0,neptune
1,110,0,normal
1,136,0,normal
4,289,3,1b
1,136,0,normal
1,110,0,normal
182,8963,6,1b
1,160,0,normal
244,12289,7,1b
1,46,0,portsweep
1,136,0,normal
1,160,0,normal
10,546,2,mailbomb
1,136,0,normal
1,46,0,neptune
1,160,0,normal
1,160,0,normal
1,137,0,normal
207,10484,6,1b
1,160,0,normal
1,160,0,normal
1,160,0,normal
1,46,0,neptune
60,84541,0,1b
1,160,0,normal
1,46,0,neptune
1,46,0,neptune
1,160,0,normal
1,160,0,normal
162,8216,0,1b
1,160,0,normal
9,420,1,1b
1,110,0,normal
1,160,0,normal
1,160,0,normal
325,16151,8,1b
1,163,0,normal
1,46,0,neptune
1,160,0,normal
1,110,0,normal
6,277,1,1b
1,146,0,normal
1,136,0,normal
1,46,0,other
1,136,0,normal
1,110,0,normal
1,160,0,normal
1,160,0,normal
1,142,0,normal
1,160,0,normal
1,136,0,normal
1,117,0,normal
1,135,0,normal
1,46,0,neptune
1,160,0,normal
9,524,0,other
1,160,0,normal
1,160,0,normal
1,160,0,normal
1,136,0,normal
1,84,0,normal
1,160,0,normal
1,142,0,normal
1,151,0,normal
1,46,0,neptune
9,420,0,1b
1,110,0,normal
5,1952,0,1b
1,110,0,normal
4,2944,3,normal
1,132,0,normal
1,116,0,normal
1,160,1,normal
1,160,0,normal
1,110,0,normal
1,116,0,normal
1,116,0,normal
4,289,3,1b
1,46,0,neptune
1,120,0,normal
1,132,0,normal
1,46,0,neptune
1,161,0,normal
1,160,0,normal
1,46,0,neptune
4,2944,4,normal
1,136,0,normal
1,132,0,normal
809,40935,13,1b
1,110,0,normal
5,2072,0,1b
1,132,0,normal
1,46,0,neptune
1,160,0,normal
1,132,0,normal
1,46,0,neptune
1,46,0,neptune
1,136,0,normal
1,46,0,neptune
1,110,0,normal
1,160,0,normal
1,46,0,neptune
1,110,0,normal
213,11378,7,1b
1,160,0,normal
1,160,0,normal
1,110,0,normal
284,13979,9,1b
1,141,0,normal
1,136,0,normal
1,144,0,normal
230,10808,7,1b
5,2286,0,1b
1,160,0,normal
1,110,0,normal
1,145,0,normal
1,160,0,normal
10,7777,0,1b
1,142,0,normal
1,160,0,normal
1,110,0,normal
1,160,0,normal
128,6591,8,1b
1,144,0,normal
3,291,6,normal
1,160,0,normal
1,114,0,normal
1,46,0,neptune
1,160,0,normal
1,162,0,normal
11,749,0,1b
1,46,0,portsweep
1,146,0,normal
1,46,0,neptune
1,46,0,neptune
1,160,0,normal
1,160,0,normal
1,116,0,normal
1,160,0,normal
1,160,0,normal
1,110,0,normal
1,132,0,normal
314,17987,8,1b
1,110,0,normal
1,117,0,normal
4,2944,3,normal
1,116,0,normal
10,544,1,mailbomb
6,2342,0,1b
1,117,0,normal
1,46,0,neptune
1,119,0,normal
826,38033,32,1b
5,615,1,1b
9,544,0,other
1,46,0,portsweep
1,46,0,neptune
1,160,0,normal
1,46,0,portsweep
18,9504,2,normal
1,160,0,normal
1,46,0,portsweep
1,46,0,portsweep
1,160,0,normal
4,184,0,other
1,117,0,normal
1,160,0,normal
1,46,0,neptune
1,116,0,normal
1,160,0,normal
6,408,0,1b
4,289,3,1b
1,160,0,normal
1,161,0,normal
1,46,0,portsweep
1,110,0,normal
1,160,0,normal
1,160,0,normal
5,1904,0,1b
1,132,0,normal
1,136,0,normal
1,46,0,neptune
1,116,0,normal
1,110,0,normal
1,160,0,normal
1,116,0,normal
1,160,0,normal
4,2944,3,normal
1,160,0,normal
1,160,0,normal
1,160,17,normal
1,160,0,normal
1,119,0,normal
1,46,0,neptune
1,46,0,portsweep
1,160,0,normal
1,116,0,normal
1,160,0,normal
9,543,0,other
1,46,0,neptune
1,160,0,normal
1,115,0,normal
1,160,0,normal
1,136,0,normal
1,160,0,normal
1,160,17,normal
1,160,0,normal
1,116,0,normal
